Название;Состав;Цена
Рамен Том Ям;Тигровая креветка, мидии, лапша Удон, кокосовое молоко, имбирь, красный лук, грибы шиитаке, паста Том Ям, рыбный бульон, соус фиш, томат, лайм, водоросли нори, чеснок, зеленый лук;288
Ким Чи;Мисо бульон, вакаме, соус Ким Чи, соус Ширачи, Тофу, яйцо, кунжутное масло, кунжут;130
Рамен;Рыбный бульон, копченая курица, лапша Удон, вакаме, зеленый лук, грибы Шиитаке, соус Фиш, соус соевый, нори, Шимичи, кунжут;150
Мисо;Мисо-бульон, Тофу, вакамэ, зелёный лук;100
