Название;Состав;Цена
Морс Вишневый 0,3;;52
Морс Вишневый 0,5;;75
Морс Клюквенный 0,3;Клюква, вода, сахар.;52
Морс Клюквенный 0,5;Клюква, вода, сахар.;75
Морс Облепиховый 0,5;;75
Морс Облепиховый 0,3;;52
Мохито Безалкогольный 0.3;Вода питьевая, сахар, вкусо-ароматическая основа «Лимон», концентрированный сок яблока,  ароматизатор натуральный «Лимон», ароматизатор натуральный «Мята».;52
Мохито Безалкогольный 0.5;Вода питьевая, сахар, вкусо-ароматическая основа «Лимон», концентрированный сок яблока,  ароматизатор натуральный «Лимон», ароматизатор натуральный «Мята».;75
