Название;Состав;Цена
Бананы в кокосовой темпуре;Банан, кокосовая стружка, темпура, сахарная пудра, топпинг карамель;140
Шоколадный ролл;Спринг-тесто, сливочный сыр, банан, корж, топпинг клубничный, чернослив, грецкие орехи, шоколадный замес;219
Сладкий ролл с карамельным соусом;Спринг-тесто, банан, киви, яблоко, сладкий замес, топпинг карамельный;219
Сладкий ролл с клубничным соусом;Спринг-тесто, банан, киви, яблоко, сладкий замес, топпинг клубничный;219
Десерт Шоколад-банан;Банан, сливочный сыр, шоколадная паста, сахарная пудра, топпинг карамель, рисовая бумага;168
