Название;Состав;Цена
Коул Слоу с крабом;Снежный краб, китайская капуста, морковь, майонез, икра масаго;80
Салат Филадельфия;Лосось, сливочный сыр, рис, огурец, соус Унаги, кунжут;239
Салат с чукой;Салат чука, вакамэ, лимон, ореховый соус, кунжут;170
