Название;Состав;Цена
Запеченные мидии;Мидии Гигант 5 шт, соус розовый, соус Унаги, лимон, кунжут;365
Рис Теппаньяки с цыпленком;Курица, рис, болгарский перец, красный лук, кабачки, морковь, соус розовый, яйцо, кунжутное масло, зеленый лук, кунжут;250
Куриный шницель;Курица, кляр, рис, морковь, китайская капуста, майонез, соус Унаги, зеленый лук, кунжут;225
