Название;Состав;Цена
Рис с овощами;Рис, болгарский перец, красный лук, кабачки, морковь, соевый соус, кунжутное масло, зеленый лук, кунжут;149
Лапша Удон мини;Лапша Удон, болгарский перец, красный лук, кабачки, морковь, соус Терияки, зеленый лук, кунжут;99
Лапша Удон с овощами;Лапша Удон, болгарский перец, красный лук, кабачки, морковь, соус Терияки, зеленый лук, кунжут;159
Лапша хрустальная мини;Лапша хрустальная, болгарский перец, красный лук, кабачки, морковь, соус Терияки, зеленый лук, кунжут;99
Лапша Хрустальная с овощами;Лапша хрустальная, болгарский перец, красный лук, кабачки, морковь, соус Терияки, зеленый лук, кунжут;159
